"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342267766,"CD-52 9381",34.05460997255199,"PACS70",70,0.00118981,0.00118981,0.779797,301.8495703360527,-51.79143458879294
1342265607,"CD-54 4320",42.57130693912303,"PACS100",100,0.000645578,0.000645578,,176.46510630335527,-55.34603664819499
1342265607,"CD-54 4320",42.57130693912303,"PACS70",70,0.00130474,0.00130474,1.36322,176.46510630335527,-55.34603664819499
1342209059,"CD-64 1208",29.23976608187134,"PACS100",100,0.00201911,0.00201911,-0.880556,281.40455889064134,-64.86335956943519
1342209059,"CD-64 1208",29.23976608187134,"PACS70",70,0.00407797,0.00407797,-0.506092,281.40455889064134,-64.86335956943519
1342269672,"CD-78 24",49.76411808029938,"PACS100",100,0.000445874,0.000445874,,10.586044788618283,-77.7944822133344
1342269672,"CD-78 24",49.76411808029938,"PACS70",70,0.000908076,0.000908076,1.44972,10.586044788618283,-77.7944822133344
1342269674,"CD-86 147",63.19794227499953,"PACS100",100,0.000432226,0.000432226,,351.9587481595663,-86.22201808333605
1342269674,"CD-86 147",63.19794227499953,"PACS70",70,0.000876504,0.000876504,1.32219,351.9587481595663,-86.22201808333605
1342225383,"V* CF Tuc",87.95538902668567,"PACS100",100,0.00379188,0.00290414,,13.285323016376081,-74.65148850208324
1342225383,"V* CF Tuc",87.95538902668567,"PACS70",70,0.00768442,0.00591812,1.54176,13.285323016376081,-74.65148850208324
1342252978,"CoRoT-10",341.65840992176027,"PACS100",100,0.0000091596,0.0000091596,1.27623,291.06368368588545,0.7460311539330094
1342252978,"CoRoT-10",341.65840992176027,"PACS70",70,0.0000185263,0.0000185263,,291.06368368588545,0.7460311539330094
1342225367,"CD-53 251",414.6796599626788,"PACS100",100,0.442079,0.0000689038,38.6965,19.43113149054948,-52.55856109291684
1342225367,"CD-53 251",414.6796599626788,"PACS70",70,0.710224,0.000138539,38.3554,19.43113149054948,-52.55856109291684
1342231584,"V* DY Leo",44.038119396149305,"PACS100",100,0.00184739,0.00184739,,147.45108061129372,11.106213128899523
1342231584,"V* DY Leo",44.038119396149305,"PACS70",70,0.00375185,0.00375185,0.0295801,147.45108061129372,11.106213128899523
1342238025,"V* EO Psc",23.39378286826493,"PACS100",100,0.0180929,0.00311521,,22.272062021372623,21.722549790787653
